wins,kills,kdRatio,downs,topTwentyFive,top10,contracts,revives,topFive,score,timePlayed,played,tokens,scorePerMinute,cash,deaths,title,player,win_pc,top10_pc,top5_pc,avg_kills,minutes,kill_ratio,top5conversion,avg_score
104,3405,1.4205256570713392,3565,951,584,1897,371,389,4697465,1433391,1093,0,196.63015883314463,0,2397,br,willgreedy,9.52,53.43,35.59,3.12,23890,1.42,26.74,4298
102,3596,0.9122272957889396,2292,953,521,2181,171,326,5853260,1760141,1921,0,199.5269697143581,0,3942,br,jamesgreedy,5.31,27.12,16.97,1.87,29336,0.91,31.29,3047
98,4511,1.2646481637230165,4314,1184,691,2669,523,454,6525010,1918554,1337,0,204.060245372296,0,3567,br,Nebuchadnezzza,7.33,51.68,33.96,3.37,31976,1.26,21.59,4880
44,2671,1.161304347826087,2443,713,404,1163,292,236,3053310,1167504,816,0,156.91475146980224,0,2300,br,PridedRug,5.39,49.51,28.92,3.27,19458,1.16,18.64,3742
38,2312,0.7939560439560439,1601,785,378,1809,246,215,3274945,1427031,1185,0,137.69616777771472,0,2912,br,morman__,3.21,31.9,18.14,1.95,23784,0.79,17.67,2764
68,2095,0.6819661458333334,1805,864,491,1853,239,304,3543655,1430720,1303,0,148.61000055915903,0,3072,br,Paddygreedy,5.22,37.68,23.33,1.61,23845,0.68,22.37,2720
258,13125,1.8685933940774488,13977,2847,1806,4428,2199,1118,13817160,4197613,3209,0,197.50024597312807,0,7024,br,Doctor OKO,8.04,56.28,34.84,4.09,69960,1.87,23.08,4306
34,2028,0.9143372407574392,1976,706,383,1375,390,209,2958500,1088384,825,0,163.0950105844996,0,2218,br,joshnolan,4.12,46.42,25.33,2.46,18140,0.91,16.27,3586
9,983,0.9590243902439024,907,250,108,376,20,54,1160365,431122,393,0,161.49001906652873,0,1025,br,rikharde,2.29,27.48,13.74,2.5,7185,0.96,16.67,2953
57,1959,0.9731743666169895,2033,785,471,1310,511,273,2324720,1148179,718,0,121.4821034002538,0,2013,br,sanchybbz,7.94,65.6,38.02,2.73,19136,0.97,20.88,3238
44,2319,0.7671187562024478,2102,840,418,2101,330,251,3618240,1453507,1117,0,149.3590330146329,0,3023,br,wearerope,3.94,37.42,22.47,2.08,24225,0.77,17.53,3239
81,4881,1.1815541031227306,5063,1383,801,1824,591,419,6338200,2151974,1697,0,176.7177484486337,0,4131,br,scot_willo,4.77,47.2,24.69,2.88,35866,1.18,19.33,3735
