kills,objectiveTeamWiped,objectiveLastStandKill,wallBangs,avgLifeTime,score,headshots,assists,killsPerGame,scorePerMinute,distanceTraveled,deaths,objectiveManualFlareMissileRedirect,objectiveMunitionsBoxTeammateUsed,objectiveDestroyedEquipment,objectiveBrDownEnemyCircle4,objectiveBrDownEnemyCircle3,objectiveMedalScoreSsKillPrecisionAirstrike,objectiveBrDownEnemyCircle2,objectiveDestroyedVehicleHeavy,kdRatio,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,objectiveReviver,objectiveBrKioskBuy,gulagDeaths,objectiveBrDownEnemyCircle6,objectiveBrDownEnemyCircle5,timePlayed,headshotPercentage,executions,matchesPlayed,gulagKills,nearmisses,objectiveBrCacheOpen,objectiveTrophyDefense,damageDone,damageTaken,objectiveBrC130BoxOpen,objectivePlunderCashBloodMoney,objectiveDestroyedVehicleLight,objectiveDestroyedVehicleMedium,objectiveMedalScoreSsKillTomaStrike,objectiveAssistDecoy,objectivePerkMarkedTarget,player,damageRatio,teamWipedPerGame,trufflesPerGame,revivesPerGame,distancePerGame,gulag_win_pc,gulag_kd
72,20,41,0,845.2777777777778,106625,17,10,3.130434782608696,105.11830430496221,9627695.719999999,49,2,5,2,3,1,1,13,1,1.47,38,55,10,59,15,4,5,60860,23.6,0,23,8,0,122,5,28314,13309,NA,NA,NA,NA,NA,NA,NA,willgreedy,2.1,0.87,5.3,0.43,418.6,34.8,0.53
78,6,22,0,828.5714285714286,162728,13,14,1.56,80.16157635467981,19987396.830000006,97,NA,6,4,1,1,NA,2,4,0.8,14,83,4,89,31,4,2,121800,16.7,1,50,12,0,314,NA,27710,20160,1,9,2,2,NA,NA,NA,jamesgreedy,1.4,0.12,6.28,0.08,399.75,27.9,0.39
210,44,123,0,710.4650205761317,221625,64,30,3,77.02310548357015,30592519.909999993,173,3,10,3,9,9,NA,21,NA,1.21,90,171,15,84,34,14,1,172643,30.5,0,70,31,0,358,2,80536,32521,NA,NA,NA,2,1,NA,NA,Nebuchadnezzza,2.5,0.63,5.11,0.21,437.04,47.7,0.91
64,10,40,0,886.6933333333334,104250,14,19,2.56,94.05732158431326,9410881.140000002,50,NA,5,2,1,5,NA,13,NA,1.28,39,46,14,55,16,2,5,66502,21.9,0,25,12,0,149,1,29396,12192,NA,NA,NA,NA,NA,NA,NA,PridedRug,2.4,0.4,5.96,0.56,376.44,42.9,0.75
16,3,11,0,891.4545454545455,41300,7,6,0.8421052631578947,50.54048541709158,7220199.629999999,36,NA,5,NA,NA,NA,NA,1,NA,0.44,11,44,3,21,16,NA,NA,49030,43.8,0,19,4,0,75,2,7132,8487,NA,NA,NA,NA,NA,NA,NA,morman__,0.8,0.16,3.95,0.16,380.01,20,0.25
32,6,22,0,775.0689655172414,73410,4,18,1.28,65.32010499621836,9333773.83,62,NA,8,3,NA,4,NA,3,NA,0.52,25,49,7,46,27,NA,1,67431,12.5,0,25,6,0,111,NA,15547,17880,NA,NA,NA,NA,NA,1,2,Paddygreedy,0.9,0.24,4.44,0.28,373.35,18.2,0.22
392,91,261,0,1050.9133858267717,345775,100,143,3.881188118811881,77.7220415686392,35992890.99607997,153,NA,37,2,30,49,4,66,NA,2.56,238,127,80,109,41,31,19,266932,25.5,1,101,50,0,385,1,178650,49597,NA,NA,1,2,1,NA,NA,Doctor OKO,3.6,0.9,3.81,0.79,356.37,54.9,1.22
1,NA,1,0,368.46153846153845,2550,0,1,0.25,31.94154488517745,384592.196,9,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,3,1,NA,0,NA,NA,4790,0,0,4,0,0,10,NA,1248,2296,NA,NA,NA,NA,NA,NA,NA,joshnolan,0.5,NA,2.5,0.25,96.15,NaN,NaN
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rikharde,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sanchybbz,NA,NA,NA,NA,NA,NA,NA
55,11,26,0,802.5563909774436,109925,11,27,1.375,61.7903316469927,16140653.139999999,93,NA,7,1,3,3,NA,9,NA,0.59,36,105,5,48,36,1,1,106740,20,0,40,18,0,190,1,22814,21490,NA,NA,NA,NA,NA,NA,NA,wearerope,1.1,0.28,4.75,0.12,403.52,33.3,0.5
189,56,106,0,701.5813953488372,185564,51,50,4.108695652173913,92.26531424025457,18550588.11999999,126,NA,27,5,10,8,NA,15,2,1.5,81,96,22,79,19,1,14,120672,27,1,46,18,0,233,3,75991,31420,NA,3,NA,NA,1,NA,NA,scot_willo,2.4,1.22,5.07,0.48,403.27,48.6,0.95
15,5,3,0,741.5853658536586,13275,2,4,1.0714285714285714,26.19634928465713,4266389.675,27,NA,2,NA,NA,1,NA,NA,NA,0.56,9,3,1,2,9,NA,NA,30405,13.3,0,14,5,0,41,NA,5181,4136,NA,NA,NA,NA,NA,NA,NA,TrumpTrash,1.3,0.36,2.93,0.07,304.74,35.7,0.56
